ORDER #,CUSTOMER #,INVOICE DATE,QTY SHIPPED,ITEM #,ITEM PRICE
21506,1FISSC,2015-01-23,10.0,AAH56RDN9KA1,769.75
21507,7POPEX,2015-02-27,9.0,AAM27QPC9LA1,588.75
21508,1NEWHB,2015-01-23,4.0,AAH73WCF9NA5,250.0
21487,1KAMPS,2015-02-13,2.0,AAH02RDC9JA2,465.0
20461,1EATSD,2015-03-06,6.0,QA00061,50.93
21509,1MCOOP,2015-01-09,1.0,500,453.3
21510,1MCOOP,2015-01-09,1.0,500,452.61
21511,1MCOOP,2015-01-09,1.0,500,471.15
21512,1MCOOP,2015-01-09,1.0,500,436.65
20461,1EATSD,2015-03-06,16.0,HNN4003,73.0
21514,1KUYPE,2015-02-20,1.0,AAH02RDH9JA2,506.0
21515,1NEWEF,2015-02-13,1.0,AAH55JDC9LA1,695.0
21524,1BUTSE,2015-04-24,1.0,AAM28QPN9KA1,747.0
21526,7GRATS,2015-04-30,1.0,L3217,2326.88
21527,7MARMA,2015-01-23,3.0,AAH01JDC9JA2,412.5
18184,1HAWOR,2015-01-30,2.0,WPLN4212,420.75
18184,1HAWOR,2015-01-30,2.0,PMNN4409,95.2
18184,1HAWOR,2015-01-30,2.0,PMLN7008,10.2
21529,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,799.0
21529,1HAWOR,2015-01-30,2.0,WPLN4212,420.75
21529,1HAWOR,2015-01-30,3.0,PMNN4409,95.2
21529,1HAWOR,2015-01-30,3.0,PMLN7008,10.2
21530,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,799.0
21530,1HAWOR,2015-01-30,1.0,WPLN4212,420.75
21530,1HAWOR,2015-01-30,3.0,PMNN4409,95.2
21530,1HAWOR,2015-01-30,3.0,PMLN7008,10.2
21531,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,799.0
21531,1HAWOR,2015-01-30,1.0,WPLN4212,420.75
21531,1HAWOR,2015-01-30,3.0,PMNN4409,95.2
21531,1HAWOR,2015-01-30,3.0,PMLN7008,10.2
21538,1HEART,2015-01-23,2.0,AAH88QCP9JA2,475.0
21545,*700,2015-01-30,21.0,AAH73WCF9NA5,256.0
21545,*700,2015-01-30,1.0,0105950U15,30.0
21546,1GRAFR,2015-02-13,1.0,A03JAC9JA2,399.99
21548,3GRANF,2015-02-13,1.0,AAH03KEF8AA7,225.0
21548,3GRANF,2015-02-13,1.0,A03JAC9JA2,399.99
21555,4BERRC,2015-03-13,1.0,LPX53,1300.0
21555,4BERRC,2015-03-13,1.0,ENT2B3B,150.0
21555,4BERRC,2015-03-13,1.0,ENT2B3R,150.0
21555,4BERRC,2015-03-13,1.0,TAD6113,20.0
21555,4BERRC,2015-03-13,1.0,ES100,200.0
21555,4BERRC,2015-03-13,1.0,ESBU,30.0
21555,4BERRC,2015-03-13,1.0,MISC150,150.0
21555,4BERRC,2015-03-13,1.0,CMUMNTSALT17,465.0
21556,1RESCC,2015-01-30,8.0,AAH01QDC9JA2,420.0
21556,1RESCC,2015-01-30,1.0,PMLN6588,369.75
21559,1KENQF,2015-02-06,1.0,AAH55QDC9LA1,776.0
21559,1KENQF,2015-02-06,5.0,PMMN4024,72.6
21559,1KENQF,2015-02-06,1.0,WPLN4232,63.0
21563,4VANCS,2015-02-13,1.0,PB47UINT13,280.0
21504,4STUFD,2015-02-06,4.0,QA00505,75.0
21610,5SPRFD,2015-03-20,5.0,A03JAC9JA2,418.4
21610,5SPRFD,2015-03-20,2.0,PMNN4451,16.0
21622,1HOMET,2015-02-13,2.0,A03JAC9JA2,399.99
21622,1HOMET,2015-02-13,2.0,R687,80.0
21622,1HOMET,2015-02-13,1.0,RLN6527,38.0
21490,*700,2015-01-30,2.0,PMNN4409,85.0
21645,1COLIS,2015-01-30,1.0,AAM01JNC9JA1,440.0
21651,1GRAGR,2015-02-13,4.0,AAM25DKC9AA1,546.0
21652,1WYOPD,2015-02-06,12.0,NTN9858,83.0
21675,1MCOOP,2015-01-23,1.0,500,935.53
21678,1GORFO,2015-02-13,150.0,LMR400,1.2
21538,1HEART,2015-01-23,2.0,PMLN7158,40.0
21692,6SBRAD,2015-02-06,1.0,EPL9000-54,1350.0
21697,1GERBP,2015-02-13,2.0,AAH01QDC9JA2,435.0
21697,1GERBP,2015-02-13,4.0,NNTN4497,70.0
21703,1CUSFD,2015-02-13,12.0,A03JAC9JA2,399.99
21740,1VALTP,2015-02-06,6.0,AAH02RDC9JA2,468.0
21740,1VALTP,2015-02-06,6.0,PMMN4073,70.0
21740,1VALTP,2015-02-06,1.0,PMNN4406,66.0
21758,1FISSC,2015-01-30,10.0,AAH56RDN9KA1,769.75
21765,1WELLP,2015-02-06,2.0,AAH01QDC9JC2,360.0
21765,1WELLP,2015-02-06,2.0,QA00531,97.86
21691,6SBRAD,2015-02-06,1.0,ENFDWP1RW,270.0
21691,6SBRAD,2015-02-06,2.0,ENFDSS1RW,240.0
21686,1FOURW,2015-02-06,1.0,S261815,1075.0
21772,1FISSC,2015-02-13,10.0,AAH56RDN9KA1,769.75
21772,1FISSC,2015-02-13,2.0,PMMN4025,79.05
21772,1FISSC,2015-02-13,10.0,NNTN8129,112.2
21772,1FISSC,2015-02-13,10.0,WPLN4232,53.55
21772,1FISSC,2015-02-13,1.0,WPLN4212,420.75
21772,1FISSC,2015-02-13,9.0,NNTN8125,203.15
21780,1MICAT,2015-03-20,1.0,AAM01JQC9JC1,406.25
21780,1MICAT,2015-03-20,1.0,G8U30,49.0
21780,1MICAT,2015-03-20,1.0,HAD4008,19.5
21622,1HOMET,2015-02-13,2.0,RLN6507,10.0
