ORDER #,CUSTOMER #,INVOICE DATE,QTY SHIPPED,ITEM #,DESCRIPTION,ITEM PRICE
21144,1POKPP,2015-02-06,2.0,EGHST1J,GRILLE LIGHTS * RED/BLUE,130.0
21144,1POKPP,2015-02-06,1.0,MISC25,MISCELLANEOUS HARDWARE,25.0
21159,*700,2015-01-23,4.0,AAM28QPC9KA1,XPR5350 UHF MOBILE 40W 32CH,599.0
21167,6SBRAD,2015-02-06,2.0,EPL9000-54,PINNACLE SOS LIGHTBAR,1350.0
21167,6SBRAD,2015-02-06,2.0,ETSP6F,SOS 600 SERIES 6 FNCTION SWTCH,80.0
20866,7EMMCC,2015-02-27,1.0,GPSU15M,LAIRD TECH 3-5V GPS ANTENNA,82.0
20987,4BERSH,2015-01-23,1.0,LPX53,FED SIG DISCRETE LPX-53,1375.0
20866,7EMMCC,2015-02-27,1.0,GPDE604513005,GEMINI PD+ UHF 40W W/GPS,3015.0
20866,7EMMCC,2015-02-27,1.0,CCC5913S020,CAL-AMP RUGGEDIZED CAT5E CABLE,50.0
21144,1POKPP,2015-02-06,1.0,S10,HANDLE BAR SWITCH,35.0
21218,4STJOS,2015-01-23,1.0,CCMC18,"TROY 18"" SLOPED CONSOLE",425.0
21218,4STJOS,2015-01-23,1.0,ACINBHG,"TROY 4"" INTL BEV HOLDER W/FNGR",50.0
21218,4STJOS,2015-01-23,1.0,ACSIDEARM6,SIDE ARMREST,90.0
21218,4STJOS,2015-01-23,1.0,CMMCMTSALT17,TROY MC SWING-ARM LAPTOP MOUNT,525.0
21218,4STJOS,2015-01-23,1.0,MISC50,MISCELLANEOUS HARDWARE,50.0
21218,4STJOS,2015-01-23,1.0,PA1580-1921,LIND DC-DC POWER SUPPLY 15 AMP,149.0
21218,4STJOS,2015-01-23,1.0,CGX,HAVIS CHARGEGUARD,99.0
21309,4VANCS,2015-02-06,1.0,PB47UINT13,PRO-GARD PUSH BUMPER,280.0
21022,1GHDPS,2015-02-27,1.0,F5218A,MOTO MW810 MOBILE WORKSTATION,2076.0
21022,1GHDPS,2015-02-27,1.0,1409320100,CALAMP FUSION LTE ROUTER,1490.0
21022,1GHDPS,2015-02-27,1.0,3YRWTYFUSION,3 YEAR WARRANTY/FUSION LTE,250.0
21388,4SOUHC,2015-02-27,20.0,AAH01QDC9JA2,CP200D UHF 4W ND,425.0
21387,1HAMFD,2015-01-23,3.0,AAM01JQH9JC1,MOTO CM300D VHF 45W DASH MT,480.0
21387,1HAMFD,2015-01-23,3.0,2880376E84,MINI UHF CONNECTOR,5.75
21137,1EATSD,2015-01-23,6.0,425-6303,"JOTTO DESK FACEPLATE 3""",31.0
21462,6SBRAD,2015-02-06,1.0,EPL9000-54,PINNACLE SOS LIGHTBAR,1350.0
21462,6SBRAD,2015-02-06,1.0,ETSP6F,SOS 600 SERIES 6 FNCTION SWTCH,80.0
21483,1ALPEF,2015-02-06,1.0,AAM79KTD9PW5,PM1500 VHF 100W MOBILE,1350.0
21486,1GERBP,2015-01-23,2.0,AAH01QDC9JA2,CP200D UHF 4W ND,435.0
21486,1GERBP,2015-01-23,2.0,QA00531,MICROPHONE OPTION (PMMN4013),70.0
21486,1GERBP,2015-01-23,8.0,NNTN4497,LIION BATTERY 2190 MAH,70.0
21488,1BRIMY,2015-01-23,4.0,AAH55QDH9LA1,XPR6550 403-470M 4W DSPL W/GPS,759.0
21487,1KAMPS,2015-02-13,3.0,AAM02QNH9JA1,MOTO XPR 2500 403-470 25W,520.0
21487,1KAMPS,2015-02-13,3.0,0180352A11,ANTENNA 1/4 WAVE 450-470 MHZ,12.0
21487,1KAMPS,2015-02-13,3.0,0180355A80,SPECTRUM MAGNETIC MNT  MINIUHF,28.5
21489,4BERSH,2015-03-27,1.0,AAM01JQH9JC1,MOTO CM300D VHF 45W DASH MT,475.0
21489,4BERSH,2015-03-27,1.0,HLN9457,EXPANDED ACCY TERMINAL KIT,6.0
